"stationId","stationName","state","wfo","radar","timeZoneId","latitude","longitude"
"PADK","Adak Island, Adak Airport","AK","AFC","null","America/Adak",51.87778,-176.64583
"PADQ","Kodiak, Kodiak Airport","AK","AFC","AKC","America/Anchorage",57.75,-152.5
"PAFM","Ambler, Ambler Airport","AK","AFG","null","America/Anchorage",67.1,-157.85
"PAGN","Angoon","AK","AJK","ACG","US/Alaska",57.5,-134.58333
"PAWI","Wainwright, Wainwright Airport","AK","AFG","null","America/Anchorage",70.63333,-159.85
"PAKN","King Salmon, King Salmon Airport","AK","AFC","AKC","America/Anchorage",58.67667,-156.64917
"PAKP","Anaktuvuk Pass, Anaktuvuk Pass Airport","AK","AFG","null","America/Anchorage",68.13361,-151.74333
"PAKW","Klawock - Klawock Airport","AK","AJK","ACG","US/Alaska",55.5839,-133.067
"PANC","Anchorage, Ted Stevens Anchorage International Airport","AK","AFC","AHG","America/Anchorage",61.17444,-149.99611
"PANI","Aniak, Aniak Airport","AK","AFC","ABC","America/Anchorage",61.58139,-159.54278
"PANT","Annette Island Airport","AK","AJK","ACG","America/Metlakatla",55.03835,-131.57664
"PANV","Anvik, Anvik Airport","AK","AFG","ABC","America/Anchorage",62.64833,-160.18972
"PAPB","St. George, St. George Airport","AK","AFC","null","America/Nome",56.57861,-169.66139
"PARC","Arctic Village, Arctic Village Airport","AK","AFG","null","America/Anchorage",68.11444,-145.57917
"PAZK","Eureka, Skelton Airport","AK","AFC","AHG","America/Anchorage",61.93333,-147.16667
"PABV","Birchwood, Birchwood Airport","AK","AFC","AHG","America/Anchorage",61.41667,-149.51667
"PABE","Bethel, Bethel Airport","AK","AFC","ABC","America/Anchorage",60.77972,-161.83778
"PABI","Delta Junction/Ft Greely, Allen Army Airfield","AK","AFG","APD","America/Anchorage",64,-145.73333
"PABR","Barrow, Wiley Post-Will Rogers Memorial Airport","AK","AFG","null","America/Anchorage",71.28528,-156.76583
"PABA","Barter Island, Barter Island LRRS Airport","AK","AFG","null","America/Anchorage",70.13389,-143.57694
"PABT","Bettles, Bettles Airport","AK","AFG","APD","America/Anchorage",66.91667,-151.51667
"PABL","Buckland, Buckland Airport","AK","AFG","AEC","America/Anchorage",65.98222,-161.15194
"PACD","Cold Bay, Cold Bay Airport","AK","AFC","null","America/Nome",55.22083,-162.72778
"PACV","Cordova, Merle K (Mudhole) Smith Airport","AK","AFC","AIH","America/Anchorage",60.49167,-145.47778
"PADL","Dillingham, Dillingham Airport","AK","AFC","AKC","America/Anchorage",59.05,-158.51667
"PADU","Unalaska, Unalaska Airport","AK","AFC","null","America/Nome",53.9,-166.53333
